Datetime,F10.7,SSN,F15,xray_flux
2001-06-12,171.6,259,139.0,1.5017172e-06
2001-06-13,187.1,242,141.0,2.891499e-05
2001-06-14,200.9,273,158.0,3.2436558e-06
2001-06-15,203.2,282,161.0,4.439296e-06
2001-06-16,214.3,289,164.0,3.549091e-06
2001-06-17,211.2,270,168.0,1.1466791e-06
2001-06-18,206.89543434617352,232,173.0,1.3332162e-06
2001-06-19,201.7,214,165.0,1.0983797e-06
2001-06-20,205.0,206,164.0,1.1648638e-06
2001-06-21,206.9,218,167.0,1.9477327e-06
2001-06-22,210.3,229,168.0,2.4825117e-06
2001-06-23,213.0,235,172.0,2.3737487e-06
2001-06-24,201.3,220,166.0,1.3079114e-06
2001-06-25,188.4,198,158.0,1.3275345e-06
2001-06-26,173.5,173,154.0,3.1084026e-06
2001-06-27,152.8,162,142.0,1.6410315e-06
2001-06-28,144.9,135,131.0,7.786431e-07
2001-06-29,144.6,112,122.0,9.1117164e-07
2001-06-30,141.2,98,121.0,6.751724e-07
2001-07-01,140.0,111,120.0,5.3973383e-07
2001-07-02,138.8,125,118.0,4.4682798e-07
2001-07-03,136.3,120,117.0,4.0543523e-07
2001-07-04,131.3,107,114.0,4.1560756e-07
2001-07-05,123.6,93,111.0,4.0685478e-07
2001-07-06,124.688609665465,68,103.0,2.948138e-07
2001-07-07,126.4498653756983,71,101.0,2.600813e-07
2001-07-08,130.5,81,102.0,7.0110207e-07
2001-07-09,134.4,107,109.0,5.2230166e-07
2001-07-10,134.3,105,110.0,4.4627797e-07
2001-07-11,136.3,104,110.0,4.4604636e-07
2001-07-12,138.3,135,120.0,5.208101e-07
2001-07-13,137.7,167,116.0,4.5795227e-07
2001-07-14,145.4,149,117.0,8.0011387e-07
2001-07-15,146.8,153,125.0,1.004834e-06
2001-07-16,150.03790427707946,170,124.0,8.0257297e-07
2001-07-17,150.4,185,128.0,8.6470027e-07
2001-07-18,147.7,191,127.0,6.5776754e-07
2001-07-19,146.9,183,122.0,1.8257455e-06
2001-07-20,147.2,177,122.0,6.403905e-07
2001-07-21,143.5,144,122.0,5.160409e-07
2001-07-22,144.9,150,120.0,6.6175755e-07
2001-07-23,147.8,152,117.0,1.5153765e-06
2001-07-24,136.7,135,116.0,6.300244e-07
2001-07-25,137.5,119,110.0,7.340212e-07
2001-07-26,127.2,92,109.0,4.881848e-07
2001-07-27,125.1,90,102.0,5.3623e-07
2001-07-28,119.0,95,103.0,5.6303975e-07
2001-07-29,120.5,69,101.0,8.5345226e-07
2001-07-30,118.0,86,98.0,3.609692e-07
2001-07-31,120.3,78,98.0,1.3663127e-06
2001-08-01,123.8,94,100.0,3.0489667e-07
2001-08-02,124.3,123,100.0,3.5778186e-07
2001-08-03,135.5,141,104.0,6.470174e-07
2001-08-04,152.7,175,113.0,7.759186e-07
2001-08-05,160.5,198,125.0,1.0855131e-06
2001-08-06,168.3,182,130.0,1.4720551e-06
2001-08-07,171.0,179,137.0,2.1438714e-06
2001-08-08,171.5,178,138.0,1.172554e-06
2001-08-09,167.8,158,135.0,3.1157401e-06
2001-08-10,164.7,150,134.0,1.2016553e-06
2001-08-11,169.5,170,132.0,1.3949232e-06
2001-08-12,164.0,170,137.0,1.5071921e-06
2001-08-13,155.5,138,135.0,1.0473717e-06
2001-08-14,151.1,141,129.0,2.0532968e-06
2001-08-15,150.5,161,125.0,6.577808e-07
2001-08-16,146.2,193,124.0,7.468572e-07
2001-08-17,148.4,178,123.0,7.1003194e-07
2001-08-18,159.9,161,125.0,1.4265531e-06
2001-08-19,161.3,152,130.0,1.4487836e-06
2001-08-20,159.8,153,132.0,1.3911849e-06
2001-08-21,163.9,167,131.0,2.4617443e-06
2001-08-22,165.2,170,133.0,2.8594163e-06
2001-08-23,173.4,181,136.0,2.1378648e-06
2001-08-24,178.7,176,139.0,5.450844e-06
2001-08-25,203.2,140,147.0,1.7232221e-06
2001-08-26,193.8,153,153.0,2.5521956e-06
2001-08-27,195.9,170,155.0,2.0287025e-06
2001-08-28,203.1,184,167.0,3.113463e-06
2001-08-29,200.9,146,165.0,3.6450322e-06
2001-08-30,203.0,150,160.0,2.784281e-06
2001-08-31,192.2,175,160.0,3.0194465e-06
2001-09-01,187.4,163,157.0,1.2942689e-06
2001-09-02,185.7,168,154.0,5.381654e-06
2001-09-03,202.1,190,155.0,4.048711e-06
2001-09-04,222.1,171,165.0,5.306819e-06
2001-09-05,221.8,190,174.0,5.4325246e-06
2001-09-06,225.6,223,184.0,3.0798935e-06
2001-09-07,229.5,262,182.0,3.8266926e-06
2001-09-08,253.1,288,190.0,2.9698924e-06
2001-09-09,239.5,262,193.0,3.7169043e-06
2001-09-10,247.8,237,195.0,2.6826924e-06
2001-09-11,252.9,199,199.0,2.779346e-06
2001-09-12,238.1,235,198.0,2.7507037e-06
2001-09-13,242.6,237,192.0,2.9073694e-06
2001-09-14,239.3,234,194.0,2.220843e-06
2001-09-15,221.7,205,193.0,1.0662397e-05
2001-09-16,209.3,191,179.0,2.1112214e-06
2001-09-17,201.1,177,172.0,2.5381185e-06
2001-09-18,205.7,215,168.0,4.2243e-06
2001-09-19,200.6,226,167.0,3.49841e-06
2001-09-20,228.7,289,172.0,2.4312924e-06
2001-09-21,240.5,273,188.0,4.6224313e-06
2001-09-22,257.0,259,194.0,2.128988e-06
2001-09-23,260.2,294,207.0,2.7898893e-06
2001-09-24,281.0,316,216.0,5.163112e-05
2001-09-25,276.6,305,221.0,4.8085885e-06
2001-09-26,284.0,277,220.0,2.8485938e-06
2001-09-27,270.6,278,227.0,1.34086e-05
2001-09-28,285.5,269,216.0,9.165493e-06
2001-09-29,240.2,251,217.0,1.13118795e-05
2001-09-30,236.3,261,198.0,1.2465153e-05
2001-10-01,216.9,260,189.0,8.9643445e-06
2001-10-02,201.1,223,179.0,5.7451607e-06
2001-10-03,191.8,209,174.0,2.6297107e-06
2001-10-04,186.5,204,166.0,2.004263e-06
2001-10-05,176.8,176,159.0,2.5610195e-06
2001-10-06,180.2,161,156.0,2.9352652e-06
2001-10-07,172.4,159,152.0,1.285867e-06
2001-10-08,170.8,119,153.0,1.5002429e-06
2001-10-09,175.9,122,151.0,1.0093625e-05
2001-10-10,178.1,151,156.0,1.1260499e-06
2001-10-11,174.1,175,157.0,1.2702392e-06
2001-10-12,178.5,196,157.0,5.567133e-06
2001-10-13,178.6,167,156.0,1.1102163e-06
2001-10-14,190.8,178,162.0,1.8766816e-06
2001-10-15,191.7,190,163.0,1.6375243e-06
2001-10-16,205.8,187,167.0,1.9097738e-06
2001-10-17,215.8,195,177.0,4.593495e-06
2001-10-18,226.9,203,184.0,2.6632665e-06
2001-10-19,245.6,221,194.0,3.9522924e-06
2001-10-20,242.5,247,205.0,2.0221573e-06
2001-10-21,222.0,238,200.0,7.36807e-06
2001-10-22,230.4,209,200.0,2.771169e-06
2001-10-23,224.1,221,201.0,2.4313877e-06
2001-10-24,236.0,209,195.0,1.8732751e-06
2001-10-25,236.1,233,201.0,2.0650264e-06
2001-10-26,233.6,238,204.0,2.6642201e-06
2001-10-27,243.4,221,193.0,2.4110402e-06
2001-10-28,224.2,215,200.0,2.9871037e-06
2001-10-29,212.8,186,189.0,6.640711e-06
2001-10-30,222.7,159,179.0,3.3095887e-06
2001-10-31,217.8,144,181.0,2.1275268e-06
2001-11-01,232.0,159,178.0,2.4371358e-05
2001-11-02,210.1,166,184.0,2.2350537e-06
2001-11-03,212.5,166,180.0,1.5103972e-06
2001-11-04,223.5,184,180.0,2.6651242e-06
2001-11-05,230.6,216,192.0,7.977794e-06
2001-11-06,233.2,232,197.0,5.5495284e-06
2001-11-07,230.9341377866573,204,196.0,4.8859065e-06
2001-11-08,243.1,252,200.0,4.746175e-06
2001-11-09,265.6,247,212.0,1.2673359e-05
2001-11-10,241.0,247,206.0,2.6224109e-06
2001-11-11,229.3,240,207.0,2.2222814e-06
2001-11-12,222.6,201,188.0,3.5267142e-06
2001-11-13,226.8,196,190.0,2.644473e-06
2001-11-14,212.6,196,181.0,1.8229414e-06
2001-11-15,202.4,194,182.0,1.5455371e-06
2001-11-16,197.6,149,175.0,1.3046827e-06
2001-11-17,194.0,141,173.0,3.7424747e-06
2001-11-18,183.8,153,165.0,3.5652818e-06
2001-11-19,186.8,134,164.0,2.9269322e-06
2001-11-20,180.6,144,163.0,1.4275956e-06
2001-11-21,179.7,133,163.0,1.4537873e-06
2001-11-22,177.2074326911572,144,159.0,2.4534743e-06
2001-11-23,172.9,133,165.0,1.6763559e-06
2001-11-24,168.6,111,150.0,1.9981185e-06
2001-11-25,165.6,121,151.0,3.2551993e-06
2001-11-26,170.3,139,148.0,1.2277312e-06
2001-11-27,185.3,126,146.0,3.071595e-06
2001-11-28,193.1,177,159.0,2.9736707e-06
2001-11-29,210.5,191,171.0,6.1931123e-06
2001-11-30,219.6,201,186.0,1.4936643e-06
2001-12-01,215.1,215,189.0,5.7232655e-06
2001-12-02,238.1,241,194.0,3.7198593e-06
2001-12-03,228.3,242,209.0,2.4154506e-06
2001-12-04,226.6,234,207.0,3.154121e-06
2001-12-05,230.1,255,202.0,2.0427792e-06
2001-12-06,239.5,229,200.0,2.2668328e-06
2001-12-07,219.3,223,205.0,3.0649148e-06
2001-12-08,213.9,226,198.0,3.2079595e-06
2001-12-09,217.5,228,191.0,2.131627e-06
2001-12-10,212.3,186,183.0,2.023818e-06
2001-12-11,213.9,171,191.0,4.9296286e-06
2001-12-12,229.4,189,190.0,2.346866e-06
2001-12-13,213.4,192,189.0,3.4235138e-06
2001-12-14,209.2271309913105,163,180.0,6.923299e-06
2001-12-15,211.0,174,182.0,3.1005115e-06
2001-12-16,202.5,194,175.0,2.1317603e-06
2001-12-17,199.0,192,172.0,1.3726458e-06
2001-12-18,205.0,186,175.0,1.8237622e-06
2001-12-19,201.6,160,177.0,1.9166278e-06
2001-12-20,214.0,163,183.0,2.7777235e-06
2001-12-21,226.7,194,194.0,2.5623308e-06
2001-12-22,234.9,218,200.0,2.8033123e-06
2001-12-23,246.3,215,202.0,5.9389845e-06
2001-12-24,265.5,253,220.0,2.266534e-06
2001-12-25,250.3,231,223.0,7.59227e-06
2001-12-26,259.0,270,224.0,6.2223817e-06
2001-12-27,265.6,265,229.0,6.7592787e-06
2001-12-28,265.769772553238,252,223.0,7.343749e-06
2001-12-29,255.7,221,234.0,1.7879287e-05
2001-12-30,238.5,216,222.0,3.7467623e-06
2001-12-31,237.5,218,216.0,2.6799294e-06
2002-01-01,224.5,220,208.0,2.347515e-06
2002-01-02,223.5,218,207.0,6.4726714e-06
2002-01-03,213.0,220,208.0,2.9932664e-06
2002-01-04,211.0,230,191.0,2.9467337e-06
2002-01-05,205.2,191,191.0,3.494338e-06
2002-01-06,205.4981787400036,159,176.0,2.1323117e-06
2002-01-07,211.3553683847187,146,173.0,2.5079728e-06
2002-01-08,218.01560880255985,162,165.0,1.7409042e-06
2002-01-09,220.9,196,177.0,8.412268e-06
2002-01-10,217.3,186,191.0,2.9918072e-06
2002-01-11,221.4,209,193.0,2.5600327e-06
2002-01-12,225.7,209,192.0,2.2755721e-06
2002-01-13,232.9,201,198.0,3.09711e-06
2002-01-14,221.6,197,206.0,1.3003455e-05
2002-01-15,211.2,168,197.0,2.0242676e-06
2002-01-16,209.1,141,190.0,3.4236878e-06
2002-01-17,205.0,120,192.0,2.5523557e-06
2002-01-18,203.8,139,185.0,2.4550623e-06
2002-01-19,206.9,160,190.0,1.3670019e-06
2002-01-20,215.2,176,193.0,1.5733222e-06
2002-01-21,217.5,191,196.0,1.5176695e-06
2002-01-22,221.5,194,201.0,1.8659833e-06
2002-01-23,219.4,227,206.0,
2002-01-24,223.6,186,202.0,3.4236618e-06
2002-01-25,227.6,157,202.0,2.777485e-06
2002-01-26,248.7,172,202.0,3.1003742e-06
2002-01-27,240.5,191,,3.3538695e-06
2002-01-28,252.0,196,212.0,3.9612223e-06
2002-01-29,253.2,188,219.0,3.1003358e-06
2002-01-30,248.8,193,214.0,2.1915087e-06
2002-01-31,235.5,181,211.0,2.903115e-06
2002-02-01,238.5,179,208.0,2.1302028e-06
2002-02-02,233.7,214,202.0,1.9165245e-06
2002-02-03,226.3,252,204.0,1.4873506e-06
2002-02-04,228.1,243,202.0,1.5808222e-06
2002-02-05,214.5,239,195.0,1.7464029e-06
2002-02-06,196.9,198,184.0,5.8723126e-06
2002-02-07,186.6,165,170.0,2.0524258e-06
2002-02-08,186.4,165,165.0,1.9156057e-06
2002-02-09,194.1,174,168.0,1.909189e-06
2002-02-10,210.9,166,171.0,1.3446463e-06
2002-02-11,196.6,173,177.0,1.4129746e-06
2002-02-12,203.1,174,176.0,1.4271375e-06
2002-02-13,198.5,165,175.0,1.436413e-06
2002-02-14,191.3,146,171.0,1.6205013e-06
2002-02-15,190.3,163,165.0,1.0515183e-06
2002-02-16,188.9,125,166.0,1.1195059e-06
2002-02-17,192.0,144,165.0,2.1298324e-06
2002-02-18,188.4,127,165.0,1.1366016e-06
2002-02-19,185.1,124,162.0,2.6250016e-06
2002-02-20,189.1,151,166.0,2.5908435e-06
2002-02-21,196.7,128,165.0,9.0234225e-06
2002-02-22,187.9,133,172.0,1.3216135e-06
2002-02-23,184.2,149,168.0,2.8297036e-06
2002-02-24,188.9,157,156.0,1.1405248e-06
2002-02-25,200.916636791002,192,171.0,1.9138286e-06
2002-02-26,203.5,195,174.0,1.4120062e-06
2002-02-27,194.9,170,170.0,3.2963853e-06
2002-02-28,200.4,154,169.0,3.516004e-06
2002-03-01,184.3,163,167.0,2.164783e-06
2002-03-02,187.6,117,157.0,1.570895e-06
2002-03-03,179.6,167,157.0,1.311633e-06
2002-03-04,172.0,170,155.0,1.30577e-06
2002-03-05,169.4,158,149.0,1.0204967e-06
2002-03-06,175.0,167,154.0,1.022351e-06
2002-03-07,177.0,139,150.0,1.3536566e-06
2002-03-08,174.2,118,154.0,1.4596485e-06
2002-03-09,173.65641162620545,111,151.0,1.5306629e-06
2002-03-10,176.9,117,157.0,1.7026429e-06
2002-03-11,180.0,154,159.0,1.8973764e-06
2002-03-12,176.2,135,163.0,1.122769e-06
2002-03-13,182.1,138,152.0,8.2219486e-07
2002-03-14,178.6,130,160.0,7.6313154e-07
2002-03-15,174.0,150,153.0,8.0151233e-07
2002-03-16,182.7,141,166.0,1.4944615e-06
2002-03-17,182.7,132,158.0,1.1795134e-06
2002-03-18,176.5,138,161.0,3.0074673e-06
2002-03-19,173.3,114,153.0,1.3160784e-05
2002-03-20,186.3,127,149.0,1.5190359e-06
2002-03-21,172.8,142,159.0,9.941912e-07
2002-03-22,170.4,139,148.0,1.1434141e-05
2002-03-23,169.4,158,144.0,9.0976334e-07
2002-03-24,174.3,166,142.0,9.774863e-07
2002-03-25,169.1,163,144.0,1.8068898e-06
2002-03-26,164.9,151,143.0,7.568426e-07
2002-03-27,168.4,172,141.0,8.152089e-07
2002-03-28,175.6,160,144.0,2.5406014e-06
2002-03-29,180.8,170,148.0,3.3336266e-06
2002-03-30,188.2,166,149.0,7.468937e-06
2002-03-31,204.0,187,158.0,6.81948e-06
2002-04-01,206.7,180,167.0,1.241378e-06
2002-04-02,205.9,201,169.0,1.3420065e-06
2002-04-03,209.4,195,166.0,1.4050078e-06
2002-04-04,216.3,197,168.0,2.6916828e-06
2002-04-05,213.0379860137104,197,173.0,1.5236071e-06
2002-04-06,206.7,211,168.0,1.3000931e-06
2002-04-07,208.4,214,174.0,1.6951366e-06
2002-04-08,206.8,208,177.0,1.705938e-06
2002-04-09,205.8,229,172.0,1.803099e-06
2002-04-10,195.1,220,168.0,1.8954472e-06
2002-04-11,198.3,235,169.0,1.2969243e-06
2002-04-12,213.0,251,167.0,2.1394142e-06
2002-04-13,217.22162246827773,223,173.0,1.7276258e-06
2002-04-14,211.6,232,187.0,3.4371599e-06
2002-04-15,204.7,214,181.0,2.1584685e-06
2002-04-16,197.2,175,174.0,2.1417502e-06
2002-04-17,195.0,146,164.0,8.933168e-06
2002-04-18,189.8,164,160.0,1.4375299e-06
2002-04-19,181.4,161,153.0,1.6370826e-06
2002-04-20,179.0,158,151.0,3.095615e-06
2002-04-21,175.1,147,149.0,2.4687354e-06
2002-04-22,171.7,144,141.0,1.8295108e-06
2002-04-23,177.2,177,147.0,
2002-04-24,178.9,232,151.0,1.2333979e-06
2002-04-25,169.3,228,143.0,8.0170446e-07
2002-04-26,164.7,156,139.0,6.4890475e-07
2002-04-27,159.0,136,142.0,9.437957e-07
2002-04-28,154.7605870399267,110,132.0,6.904257e-07
2002-04-29,155.2,135,128.0,1.6823012e-06
2002-04-30,155.6,132,130.0,1.1859117e-06
2002-05-01,164.9,158,132.0,1.3396748e-06
2002-05-02,171.7,177,137.0,1.8681258e-06
2002-05-03,182.0,231,153.0,1.9543595e-06
2002-05-04,192.7,258,154.0,1.2527836e-06
2002-05-05,183.2,267,160.0,1.1078813e-06
2002-05-06,194.3,231,157.0,1.1189711e-06
2002-05-07,190.3,244,164.0,1.3122029e-06
2002-05-08,190.2,220,161.0,1.1537901e-06
2002-05-09,193.7,196,159.0,1.1440846e-06
2002-05-10,194.8,207,165.0,1.3299451e-06
2002-05-11,191.8,214,159.0,2.3556508e-06
2002-05-12,187.1,202,155.0,9.565158e-07
2002-05-13,175.6,161,148.0,1.3704441e-06
2002-05-14,164.2,118,145.0,1.6184083e-06
2002-05-15,162.7,115,135.0,2.261383e-06
2002-05-16,162.0,130,135.0,1.1366321e-06
2002-05-17,160.7,134,131.0,1.8334729e-06
2002-05-18,166.8,144,129.0,3.2510718e-06
2002-05-19,175.0,144,134.0,9.355523e-07
2002-05-20,175.4,166,143.0,2.037584e-06
2002-05-21,190.4,188,144.0,1.2734641e-06
2002-05-22,185.6,213,159.0,1.3215115e-06
2002-05-23,184.8,211,150.0,1.174654e-06
2002-05-24,193.9,199,151.0,9.96448e-07
2002-05-25,187.4,197,152.0,1.0948011e-06
2002-05-26,188.0,188,152.0,1.0973412e-06
2002-05-27,191.6,191,151.0,2.6064308e-06
2002-05-28,191.4,185,155.0,2.7056074e-06
2002-05-29,189.8,177,153.0,3.2052453e-06
2002-05-30,185.1,160,151.0,2.48491e-06
2002-05-31,187.0,186,153.0,1.0942665e-06
2002-06-01,183.9,181,153.0,9.846059e-07
2002-06-02,180.0,188,149.0,1.1374206e-06
2002-06-03,175.4,194,149.0,1.0077148e-06
2002-06-04,174.7,219,145.0,1.660465e-06
2002-06-05,163.7,184,142.0,1.2713601e-06
2002-06-06,159.1,197,137.0,5.568087e-07
2002-06-07,163.1,197,136.0,6.776054e-07
2002-06-08,159.9,185,138.0,7.0439177e-07
2002-06-09,161.9,165,135.0,9.646576e-07
2002-06-10,156.2,128,132.0,8.626962e-07
2002-06-11,152.4,99,127.0,1.3201591e-06
2002-06-12,146.2,109,125.0,7.562379e-07
2002-06-13,137.6,80,118.0,8.323419e-07
2002-06-14,135.6,107,116.0,8.025622e-07
2002-06-15,139.7,102,117.0,6.04946e-07
2002-06-16,141.0,117,116.0,6.1485605e-07
2002-06-17,147.5,88,118.0,5.84203e-07
2002-06-18,147.5,127,125.0,5.922098e-07
2002-06-19,150.5,115,128.0,8.2149273e-07
2002-06-20,149.8,108,125.0,9.0535593e-07
2002-06-21,144.2,83,124.0,5.4180106e-07
2002-06-22,146.6,83,123.0,5.4343104e-07
2002-06-23,147.5,95,121.0,5.208582e-07
2002-06-24,150.11526046616066,108,121.0,5.115315e-07
2002-06-25,149.5,111,123.0,5.113676e-07
2002-06-26,148.6,108,122.0,6.049052e-07
2002-06-27,143.2,96,119.0,4.2223974e-07
2002-06-28,141.9,88,119.0,6.358201e-07
2002-06-29,147.5,96,120.0,6.9142965e-07
2002-06-30,151.4,105,122.0,2.4112192e-06
2002-07-01,152.3,94,121.0,9.888738e-07
2002-07-02,153.5,99,121.0,1.0382007e-06
2002-07-03,153.51326499010918,129,122.0,8.265706e-06
2002-07-04,151.3,133,125.0,1.5294885e-06
2002-07-05,143.5,142,120.0,1.1096208e-06
2002-07-06,138.0,121,115.0,7.052962e-07
2002-07-07,141.5,107,113.0,1.5494612e-05
2002-07-08,135.3,102,113.0,7.689061e-07
2002-07-09,140.9,103,112.0,8.9599206e-07
2002-07-10,133.1,94,110.0,6.110957e-07
2002-07-11,141.0,99,109.0,1.5236236e-06
2002-07-12,137.7,84,112.0,6.03398e-07
2002-07-13,139.4,116,112.0,8.834437e-07
2002-07-14,148.6,126,112.0,1.0924862e-06
2002-07-15,164.31477699704996,155,121.0,1.2403437e-05
2002-07-16,177.2,160,126.0,2.8079655e-06
2002-07-17,185.9,147,139.0,1.9652157e-06
2002-07-18,186.6,149,142.0,3.5910987e-06
2002-07-19,188.3,134,147.0,1.0559093e-06
2002-07-20,190.7,124,143.0,1.9036349e-06
2002-07-21,188.7,124,149.0,1.2754704e-06
2002-07-22,195.8,147,147.0,3.1450072e-06
2002-07-23,204.6,196,153.0,1.9370095e-06
2002-07-24,215.0,209,164.0,2.809343e-06
2002-07-25,224.5,215,169.0,1.8275414e-06
2002-07-26,249.1,265,172.0,3.3463518e-06
2002-07-27,238.0,294,188.0,2.1522237e-06
2002-07-28,246.2,310,182.0,2.1514359e-06
2002-07-29,241.1,293,188.0,1.5071809e-05
2002-07-30,234.1,281,182.0,2.028007e-06
2002-07-31,214.8,239,178.0,3.1015581e-06
2002-08-01,198.3,207,163.0,2.2531015e-06
2002-08-02,185.7,199,148.0,4.552235e-06
2002-08-03,172.7,183,142.0,1.8242938e-06
2002-08-04,155.3,143,130.0,4.230141e-06
2002-08-05,146.0,127,122.0,1.1781332e-06
2002-08-06,148.8,131,116.0,2.2565036e-06
2002-08-07,140.1,133,120.0,1.385597e-06
2002-08-08,138.3,115,115.0,1.8197858e-06
2002-08-09,144.0,110,117.0,9.073583e-07
2002-08-10,152.4,110,123.0,1.3838608e-06
2002-08-11,176.9,149,130.0,6.6503117e-06
2002-08-12,188.8,177,144.0,1.6734464e-06
2002-08-13,196.8,202,153.0,1.7098971e-06
2002-08-14,213.5,267,176.0,1.8808094e-06
2002-08-15,215.7,279,173.0,1.6985565e-06
2002-08-16,219.1,263,177.0,1.1777289e-05
2002-08-17,232.3,281,178.0,2.0347586e-06
2002-08-18,246.9,270,188.0,2.6824619e-06
2002-08-19,242.6,248,194.0,1.716308e-06
2002-08-20,232.8,211,192.0,2.1425617e-06
2002-08-21,225.0,192,183.0,5.775763e-06
2002-08-22,225.1,172,184.0,3.0065555e-06
2002-08-23,229.5,186,180.0,1.931137e-05
