F10.7,SSN,Datetime,Kp,Ap
167.3,160,1970-03-03,3.333,18.0
165.3,152,1970-03-04,4.0,27.0
169.9,152,1970-03-05,3.0,15.0
167.8,146,1970-03-06,5.667,67.0
168.5,157,1970-03-07,5.667,67.0
172.8,167,1970-03-08,8.333,236.0
164.5,170,1970-03-09,4.0,27.0
158.3,177,1970-03-10,1.0,4.0
156.4,146,1970-03-11,1.667,6.0
164.4,125,1970-03-12,0.333,2.0
152.5,147,1970-03-13,1.333,5.0
147.2,119,1970-03-14,0.333,2.0
144.9,92,1970-03-15,0.667,3.0
139.0,68,1970-03-16,0.667,3.0
133.7,41,1970-03-17,1.333,5.0
133.5,58,1970-03-18,2.667,12.0
130.1,68,1970-03-19,2.0,7.0
141.1,132,1970-03-20,1.667,6.0
149.7,163,1970-03-21,0.333,2.0
151.0,173,1970-03-22,0.333,2.0
164.9,191,1970-03-23,1.0,4.0
169.8,198,1970-03-24,1.0,4.0
167.1,201,1970-03-25,0.333,2.0
166.3,173,1970-03-26,0.667,3.0
159.2,163,1970-03-27,4.333,32.0
153.8,156,1970-03-28,3.667,22.0
153.2,146,1970-03-29,3.667,22.0
149.4,157,1970-03-30,2.667,12.0
149.4,143,1970-03-31,4.333,32.0
160.8,159,1970-04-01,2.667,12.0
167.2,149,1970-04-02,2.0,7.0
163.5,171,1970-04-03,1.0,4.0
170.3,164,1970-04-04,1.0,4.0
179.4,170,1970-04-05,1.667,6.0
192.9,163,1970-04-06,3.333,18.0
193.5,174,1970-04-07,1.0,4.0
203.1,208,1970-04-08,2.333,9.0
218.6,244,1970-04-09,3.0,15.0
224.7,266,1970-04-10,2.333,9.0
206.4,259,1970-04-11,0.333,2.0
198.5,231,1970-04-12,1.0,4.0
185.3,200,1970-04-13,0.333,2.0
173.9,176,1970-04-14,1.0,4.0
163.6,150,1970-04-15,2.0,7.0
152.2,130,1970-04-16,4.0,27.0
148.0,116,1970-04-17,4.0,27.0
141.8,96,1970-04-18,3.667,22.0
135.7,95,1970-04-19,1.333,5.0
131.2,92,1970-04-20,3.667,22.0
126.3,91,1970-04-21,7.0,132.0
128.6,81,1970-04-22,0.667,3.0
130.2,95,1970-04-23,3.0,15.0
130.1,127,1970-04-24,3.667,22.0
134.9,132,1970-04-25,2.667,12.0
135.3,115,1970-04-26,4.333,32.0
137.9,125,1970-04-27,1.0,4.0
148.6,150,1970-04-28,1.0,4.0
156.0,159,1970-04-29,3.0,15.0
153.3,164,1970-04-30,2.667,12.0
159.5,167,1970-05-01,3.667,22.0
160.8,167,1970-05-02,2.0,7.0
163.5,173,1970-05-03,3.667,22.0
162.3,169,1970-05-04,1.667,6.0
167.8,160,1970-05-05,3.0,15.0
163.3,163,1970-05-06,1.667,6.0
162.4,139,1970-05-07,1.0,4.0
156.7,123,1970-05-08,1.667,6.0
155.0,127,1970-05-09,0.667,3.0
162.8,157,1970-05-10,0.333,2.0
176.2,187,1970-05-11,2.333,9.0
180.3,190,1970-05-12,4.0,27.0
193.1,201,1970-05-13,2.0,7.0
196.8,205,1970-05-14,3.667,22.0
206.4,225,1970-05-15,1.0,4.0
205.9,228,1970-05-16,2.0,7.0
197.0,239,1970-05-17,1.667,6.0
194.4,245,1970-05-18,0.333,2.0
197.4,249,1970-05-19,2.0,7.0
183.9,207,1970-05-20,2.667,12.0
174.8,202,1970-05-21,2.333,9.0
170.3,177,1970-05-22,1.0,4.0
163.7,150,1970-05-23,3.333,18.0
162.6,173,1970-05-24,1.667,6.0
160.6,156,1970-05-25,0.667,3.0
162.7,177,1970-05-26,2.0,7.0
155.2,178,1970-05-27,5.0,48.0
153.9,150,1970-05-28,3.333,18.0
158.5,167,1970-05-29,2.333,9.0
163.6,164,1970-05-30,0.667,3.0
165.2,180,1970-05-31,1.0,4.0
145.5,144,1970-06-01,2.667,12.0
141.8,130,1970-06-02,2.0,7.0
133.4,91,1970-06-03,2.333,9.0
131.8,89,1970-06-04,2.0,7.0
132.8,84,1970-06-05,1.0,4.0
130.0,81,1970-06-06,0.0,0.0
134.5,82,1970-06-07,4.333,32.0
134.3,86,1970-06-08,1.667,6.0
138.1,85,1970-06-09,1.667,6.0
145.9,130,1970-06-10,1.333,5.0
169.5,173,1970-06-11,1.0,4.0
171.7,195,1970-06-12,1.333,5.0
200.2,217,1970-06-13,2.0,7.0
207.4,234,1970-06-14,2.333,9.0
209.2,238,1970-06-15,3.333,18.0
198.6,217,1970-06-16,2.667,12.0
190.7,210,1970-06-17,3.0,15.0
181.7,190,1970-06-18,4.0,27.0
175.0,149,1970-06-19,3.0,15.0
163.3,140,1970-06-20,3.0,15.0
160.6,136,1970-06-21,2.0,7.0
150.1,136,1970-06-22,1.667,6.0
143.7,123,1970-06-23,0.667,3.0
142.4,144,1970-06-24,2.0,7.0
149.3,178,1970-06-25,2.333,9.0
151.3,180,1970-06-26,2.0,7.0
159.9,161,1970-06-27,1.667,6.0
160.4,160,1970-06-28,1.0,4.0
168.0,176,1970-06-29,1.667,6.0
174.8,180,1970-06-30,1.0,4.0
179.9,194,1970-07-01,1.667,6.0
189.0,217,1970-07-02,1.333,5.0
194.6,219,1970-07-03,6.333,94.0
195.0,225,1970-07-04,0.333,2.0
190.9,234,1970-07-05,2.667,12.0
186.4,228,1970-07-06,0.667,3.0
166.2,177,1970-07-07,2.667,12.0
160.3,163,1970-07-08,5.0,48.0
148.3,147,1970-07-09,7.0,132.0
143.8,127,1970-07-10,4.0,27.0
137.7,115,1970-07-11,3.0,15.0
135.5,105,1970-07-12,3.333,18.0
130.7,112,1970-07-13,2.333,9.0
126.4,96,1970-07-14,2.667,12.0
121.9,86,1970-07-15,1.667,6.0
121.4,86,1970-07-16,0.667,3.0
125.9,84,1970-07-17,4.0,27.0
130.9,79,1970-07-18,1.667,6.0
135.8,130,1970-07-19,2.0,7.0
136.3,130,1970-07-20,3.333,18.0
150.6,170,1970-07-21,3.667,22.0
163.8,173,1970-07-22,3.333,18.0
158.7,150,1970-07-23,0.667,3.0
164.0,156,1970-07-24,5.667,67.0
169.0,173,1970-07-25,6.0,80.0
176.2,195,1970-07-26,3.667,22.0
185.9,217,1970-07-27,2.333,9.0
182.1,207,1970-07-28,1.667,6.0
161.0,217,1970-07-29,1.333,5.0
156.0,173,1970-07-30,2.333,9.0
141.6,153,1970-07-31,4.0,27.0
134.0,109,1970-08-01,1.667,6.0
128.5,96,1970-08-02,0.667,3.0
127.9,91,1970-08-03,0.333,2.0
127.4,84,1970-08-04,0.667,3.0
128.4,92,1970-08-05,0.667,3.0
128.0,96,1970-08-06,3.0,15.0
128.2,102,1970-08-07,4.667,39.0
131.8,116,1970-08-08,4.0,27.0
138.2,108,1970-08-09,1.333,5.0
137.3,101,1970-08-10,1.667,6.0
127.2,106,1970-08-11,3.333,18.0
136.8,103,1970-08-12,2.667,12.0
149.7,130,1970-08-13,3.0,15.0
167.0,133,1970-08-14,1.667,6.0
168.33089223393503,153,1970-08-15,3.667,22.0
161.09489485914457,142,1970-08-16,7.0,132.0
151.6,140,1970-08-17,5.333,56.0
148.9,153,1970-08-18,3.333,18.0
145.4,160,1970-08-19,0.333,2.0
148.5,166,1970-08-20,1.333,5.0
142.8,166,1970-08-21,1.0,4.0
141.6,153,1970-08-22,1.667,6.0
146.3,143,1970-08-23,1.667,6.0
140.2,164,1970-08-24,1.667,6.0
136.5,161,1970-08-25,2.333,9.0
135.7,154,1970-08-26,2.667,12.0
137.2,129,1970-08-27,2.333,9.0
141.6,143,1970-08-28,3.667,22.0
148.7,161,1970-08-29,1.333,5.0
149.0,170,1970-08-30,0.333,2.0
154.4,157,1970-08-31,1.667,6.0
154.2,139,1970-09-01,3.333,18.0
156.6,147,1970-09-02,2.667,12.0
163.3,156,1970-09-03,3.333,18.0
163.4,163,1970-09-04,2.0,7.0
162.4,170,1970-09-05,3.0,15.0
161.5,188,1970-09-06,2.333,9.0
164.5,193,1970-09-07,2.667,12.0
156.9,177,1970-09-08,1.333,5.0
157.2,164,1970-09-09,2.0,7.0
143.8,146,1970-09-10,0.0,0.0
134.4,116,1970-09-11,0.667,3.0
126.1,108,1970-09-12,0.667,3.0
120.0,103,1970-09-13,4.333,32.0
121.7,108,1970-09-14,2.333,9.0
118.0,106,1970-09-15,2.333,9.0
118.3,96,1970-09-16,1.333,5.0
116.8,92,1970-09-17,1.333,5.0
120.7,106,1970-09-18,1.667,6.0
134.7,139,1970-09-19,3.0,15.0
146.9,161,1970-09-20,3.333,18.0
149.3,183,1970-09-21,2.333,9.0
155.2,154,1970-09-22,2.333,9.0
161.5,147,1970-09-23,1.0,4.0
156.0,183,1970-09-24,1.333,5.0
155.8,161,1970-09-25,0.333,2.0
155.9,152,1970-09-26,2.0,7.0
150.0,123,1970-09-27,3.667,22.0
144.4,120,1970-09-28,1.0,4.0
138.7,115,1970-09-29,2.667,12.0
134.6,109,1970-09-30,2.333,9.0
128.7,89,1970-10-01,3.0,15.0
125.5,81,1970-10-02,2.333,9.0
126.0,61,1970-10-03,3.667,22.0
137.3,78,1970-10-04,2.333,9.0
134.5,106,1970-10-05,1.667,6.0
128.0,75,1970-10-06,2.333,9.0
133.2,102,1970-10-07,1.333,5.0
142.0,108,1970-10-08,0.333,2.0
144.9,110,1970-10-09,0.0,0.0
146.71364757192077,112,1970-10-10,2.667,12.0
142.8,106,1970-10-11,2.667,12.0
135.3,113,1970-10-12,0.667,3.0
131.8,119,1970-10-13,1.0,4.0
134.8,123,1970-10-14,1.333,5.0
140.1,123,1970-10-15,1.0,4.0
134.0,133,1970-10-16,3.333,18.0
131.4,119,1970-10-17,6.0,80.0
138.5,108,1970-10-18,3.333,18.0
138.9,118,1970-10-19,1.333,5.0
137.2,99,1970-10-20,0.667,3.0
136.4,98,1970-10-21,1.0,4.0
135.0,103,1970-10-22,4.667,39.0
148.9,126,1970-10-23,4.0,27.0
161.2,142,1970-10-24,1.0,4.0
168.6,157,1970-10-25,0.667,3.0
187.1,166,1970-10-26,0.667,3.0
191.8,201,1970-10-27,2.667,12.0
190.3,185,1970-10-28,4.0,27.0
189.1,197,1970-10-29,3.667,22.0
175.2,178,1970-10-30,0.667,3.0
168.7,166,1970-10-31,0.333,2.0
163.3,122,1970-11-01,0.333,2.0
159.2,116,1970-11-02,1.333,5.0
153.2,113,1970-11-03,3.0,15.0
148.4,110,1970-11-04,2.667,12.0
147.4,95,1970-11-05,3.0,15.0
149.8,126,1970-11-06,2.333,9.0
150.6,122,1970-11-07,3.333,18.0
141.1,98,1970-11-08,0.333,2.0
141.8,109,1970-11-09,2.0,7.0
147.8,110,1970-11-10,2.0,7.0
155.6,137,1970-11-11,3.0,15.0
165.1,126,1970-11-12,0.333,2.0
179.0,149,1970-11-13,2.0,7.0
186.3,166,1970-11-14,1.333,5.0
200.0,177,1970-11-15,1.667,6.0
193.5,188,1970-11-16,1.667,6.0
184.1,191,1970-11-17,1.0,4.0
193.0,191,1970-11-18,5.333,56.0
185.6,187,1970-11-19,0.667,3.0
173.7,181,1970-11-20,1.667,6.0
163.2,169,1970-11-21,2.0,7.0
154.3,149,1970-11-22,2.667,12.0
142.4,136,1970-11-23,3.0,15.0
134.0,109,1970-11-24,2.333,9.0
127.9,88,1970-11-25,2.0,7.0
127.2564573556703,92,1970-11-26,2.333,9.0
135.2,105,1970-11-27,2.667,12.0
148.9,126,1970-11-28,1.667,6.0
148.3,110,1970-11-29,0.667,3.0
152.6,146,1970-11-30,0.667,3.0
146.4,129,1970-12-01,0.333,2.0
148.4,110,1970-12-02,1.0,4.0
148.2,110,1970-12-03,1.0,4.0
154.0,108,1970-12-04,2.333,9.0
161.8,125,1970-12-05,0.333,2.0
167.4,127,1970-12-06,1.0,4.0
166.6,129,1970-12-07,3.333,18.0
167.3,142,1970-12-08,1.667,6.0
171.5,136,1970-12-09,0.333,2.0
170.8,156,1970-12-10,0.333,2.0
172.6,170,1970-12-11,0.333,2.0
178.4,156,1970-12-12,1.0,4.0
164.3,127,1970-12-13,2.0,7.0
154.5,120,1970-12-14,5.333,56.0
154.0,119,1970-12-15,1.333,5.0
146.7,96,1970-12-16,1.333,5.0
146.9,89,1970-12-17,1.0,4.0
151.6,112,1970-12-18,2.667,12.0
152.3,135,1970-12-19,3.667,22.0
155.5,147,1970-12-20,1.0,4.0
146.2,143,1970-12-21,1.0,4.0
136.7,137,1970-12-22,1.667,6.0
132.1,120,1970-12-23,1.333,5.0
124.4,93,1970-12-24,1.0,4.0
124.0,106,1970-12-25,2.0,7.0
122.3,91,1970-12-26,1.333,5.0
119.8,75,1970-12-27,3.667,22.0
117.3,71,1970-12-28,4.333,32.0
123.4,84,1970-12-29,4.333,32.0
129.0,105,1970-12-30,1.0,4.0
133.3,96,1970-12-31,0.667,3.0
130.5,96,1971-01-01,0.333,2.0
134.8,95,1971-01-02,2.667,12.0
134.7,92,1971-01-03,4.333,32.0
140.2,98,1971-01-04,2.0,7.0
146.1,89,1971-01-05,2.667,12.0
146.9,91,1971-01-06,1.0,4.0
150.2,95,1971-01-07,0.0,0.0
149.1,112,1971-01-08,0.0,0.0
152.9,126,1971-01-09,0.0,0.0
152.1,113,1971-01-10,2.0,7.0
149.0,108,1971-01-11,2.667,12.0
150.5,129,1971-01-12,0.333,2.0
148.2,116,1971-01-13,2.0,7.0
154.0,110,1971-01-14,1.333,5.0
153.7,91,1971-01-15,2.0,7.0
156.4,95,1971-01-16,2.0,7.0
155.2,108,1971-01-17,1.667,6.0
160.3,144,1971-01-18,2.667,12.0
165.8,154,1971-01-19,4.0,27.0
169.3,170,1971-01-20,3.0,15.0
178.8,185,1971-01-21,2.0,7.0
180.6,177,1971-01-22,3.0,15.0
178.82488859486162,170,1971-01-23,1.333,5.0
177.1,170,1971-01-24,3.667,22.0
168.7,159,1971-01-25,0.667,3.0
165.0,154,1971-01-26,0.333,2.0
166.7,171,1971-01-27,4.0,27.0
166.2,154,1971-01-28,6.0,80.0
160.8,153,1971-01-29,2.0,7.0
163.0,135,1971-01-30,4.333,32.0
170.1,146,1971-01-31,2.667,12.0
165.6,127,1971-02-01,1.333,5.0
160.6,120,1971-02-02,2.667,12.0
154.8,115,1971-02-03,0.333,2.0
148.6,113,1971-02-04,1.667,6.0
144.8,103,1971-02-05,1.0,4.0
143.7,110,1971-02-06,1.333,5.0
133.4,116,1971-02-07,2.333,9.0
123.2,91,1971-02-08,3.0,15.0
110.5,64,1971-02-09,1.667,6.0
109.5,57,1971-02-10,2.667,12.0
109.7,88,1971-02-11,2.667,12.0
110.6,81,1971-02-12,1.667,6.0
113.2,92,1971-02-13,0.333,2.0
114.8,91,1971-02-14,2.667,12.0
117.2,98,1971-02-15,5.333,56.0
129.8,98,1971-02-16,3.667,22.0
132.7,101,1971-02-17,3.333,18.0
130.4,115,1971-02-18,3.667,22.0
138.6,136,1971-02-19,1.667,6.0
136.2,137,1971-02-20,2.0,7.0
136.2,143,1971-02-21,1.0,4.0
143.7,147,1971-02-22,0.0,0.0
143.3,144,1971-02-23,4.0,27.0
147.6,143,1971-02-24,5.333,56.0
146.4,139,1971-02-25,4.667,39.0
143.3,123,1971-02-26,2.333,9.0
140.0,120,1971-02-27,3.333,18.0
136.6,119,1971-02-28,0.333,2.0
129.2,118,1971-03-01,0.667,3.0
125.8,132,1971-03-02,1.667,6.0
121.7,119,1971-03-03,2.333,9.0
115.9,102,1971-03-04,1.0,4.0
113.6,89,1971-03-05,0.333,2.0
109.1,74,1971-03-06,1.333,5.0
105.2,68,1971-03-07,1.0,4.0
104.0,62,1971-03-08,2.333,9.0
104.5,52,1971-03-09,0.667,3.0
106.9,58,1971-03-10,1.667,6.0
109.5,69,1971-03-11,0.667,3.0
115.2,96,1971-03-12,6.0,80.0
112.5,108,1971-03-13,4.333,32.0
111.6,101,1971-03-14,5.0,48.0
110.3,102,1971-03-15,2.0,7.0
114.5,112,1971-03-16,3.0,15.0
116.2,112,1971-03-17,2.333,9.0
114.1,108,1971-03-18,2.0,7.0
109.1,91,1971-03-19,4.667,39.0
106.3,75,1971-03-20,2.0,7.0
112.6,82,1971-03-21,1.0,4.0
112.4,78,1971-03-22,0.333,2.0
108.2,72,1971-03-23,1.333,5.0
107.9,72,1971-03-24,3.667,22.0
108.2,68,1971-03-25,2.0,7.0
107.7,71,1971-03-26,1.333,5.0
108.5,78,1971-03-27,2.0,7.0
106.1,74,1971-03-28,0.667,3.0
107.89390870966426,69,1971-03-29,0.667,3.0
108.09162421791636,76,1971-03-30,3.667,22.0
108.24905202584696,76,1971-03-31,1.667,6.0
108.3237425241746,82,1971-04-01,1.0,4.0
107.6,81,1971-04-02,1.667,6.0
109.0,84,1971-04-03,4.333,32.0
107.7,79,1971-04-04,3.667,22.0
108.3,88,1971-04-05,3.0,15.0
107.3,82,1971-04-06,2.667,12.0
113.2,84,1971-04-07,2.0,7.0
110.1,86,1971-04-08,2.333,9.0
109.0,67,1971-04-09,4.0,27.0
109.8,76,1971-04-10,4.0,27.0
124.1,72,1971-04-11,2.667,12.0
129.8,120,1971-04-12,2.0,7.0
139.6,146,1971-04-13,1.333,5.0
141.1,177,1971-04-14,7.667,179.0
139.1,174,1971-04-15,4.0,27.0
139.6,154,1971-04-16,3.0,15.0
139.9,144,1971-04-17,3.0,15.0
137.2,144,1971-04-18,3.667,22.0
138.4,156,1971-04-19,1.667,6.0
136.7,150,1971-04-20,0.333,2.0
128.9,139,1971-04-21,6.333,94.0
120.5,116,1971-04-22,2.333,9.0
117.5,78,1971-04-23,3.0,15.0
109.1,71,1971-04-24,0.333,2.0
106.0,68,1971-04-25,0.0,0.0
104.8,75,1971-04-26,2.0,7.0
101.6,72,1971-04-27,2.333,9.0
97.5,69,1971-04-28,1.667,6.0
95.8,64,1971-04-29,3.333,18.0
94.8,51,1971-04-30,0.333,2.0
95.2,67,1971-05-01,2.0,7.0
99.6,69,1971-05-02,1.333,5.0
106.1,76,1971-05-03,3.667,22.0
112.6,86,1971-05-04,0.667,3.0
117.8,93,1971-05-05,2.333,9.0
125.6,93,1971-05-06,5.0,48.0
131.1,102,1971-05-07,4.0,27.0
132.7,99,1971-05-08,2.667,12.0
138.3,98,1971-05-09,2.667,12.0
135.7,103,1971-05-10,1.333,5.0
135.3,101,1971-05-11,1.0,4.0
130.1,105,1971-05-12,2.333,9.0
125.0,110,1971-05-13,1.0,4.0
122.3,110,1971-05-14,3.333,18.0
118.0,108,1971-05-15,2.333,9.0
116.1,105,1971-05-16,3.0,15.0
112.8,92,1971-05-17,5.333,56.0
111.1,79,1971-05-18,1.667,6.0
109.8,68,1971-05-19,2.333,9.0
106.0,64,1971-05-20,1.0,4.0
102.0,61,1971-05-21,0.333,2.0
93.4,50,1971-05-22,1.333,5.0
89.56713695660075,29,1971-05-23,2.333,9.0
90.29182733910696,29,1971-05-24,2.333,9.0
94.02778304535026,39,1971-05-25,2.333,9.0
99.12530203102727,51,1971-05-26,2.0,7.0
103.9,69,1971-05-27,0.667,3.0
107.0,91,1971-05-28,1.0,4.0
108.4,95,1971-05-29,2.667,12.0
110.3,96,1971-05-30,2.333,9.0
111.7,89,1971-05-31,0.333,2.0
110.0,69,1971-06-01,4.0,27.0
108.2,86,1971-06-02,4.0,27.0
107.8,85,1971-06-03,2.333,9.0
107.4,78,1971-06-04,2.667,12.0
106.3,61,1971-06-05,1.667,6.0
105.0,40,1971-06-06,0.333,2.0
101.6,41,1971-06-07,1.667,6.0
101.9,54,1971-06-08,1.0,4.0
100.9,40,1971-06-09,0.667,3.0
97.5,35,1971-06-10,1.0,4.0
96.0,37,1971-06-11,1.333,5.0
93.3,43,1971-06-12,0.667,3.0
93.7,33,1971-06-13,1.333,5.0
94.0,45,1971-06-14,1.0,4.0
91.3,29,1971-06-15,2.0,7.0
90.8,51,1971-06-16,2.333,9.0
93.1,57,1971-06-17,1.0,4.0
95.4,57,1971-06-18,1.667,6.0
94.6,40,1971-06-19,0.0,0.0
94.2,50,1971-06-20,0.667,3.0
95.2,50,1971-06-21,1.667,6.0
98.5,54,1971-06-22,1.667,6.0
95.0,69,1971-06-23,0.333,2.0
105.3,82,1971-06-24,2.0,7.0
110.2,98,1971-06-25,5.0,48.0
115.9,125,1971-06-26,1.333,5.0
122.5,146,1971-06-27,1.0,4.0
131.1,150,1971-06-28,3.0,15.0
141.1,156,1971-06-29,4.333,32.0
148.7,159,1971-06-30,3.0,15.0
145.0,135,1971-07-01,2.333,9.0
139.3,137,1971-07-02,3.0,15.0
130.5,139,1971-07-03,2.667,12.0
134.7,135,1971-07-04,2.667,12.0
134.6,119,1971-07-05,2.333,9.0
126.9,112,1971-07-06,2.333,9.0
122.5,105,1971-07-07,1.0,4.0
116.7,96,1971-07-08,3.0,15.0
107.7,82,1971-07-09,1.333,5.0
108.4,64,1971-07-10,0.333,2.0
108.6,68,1971-07-11,1.333,5.0
109.7,82,1971-07-12,2.333,9.0
111.2,76,1971-07-13,1.333,5.0
114.0,86,1971-07-14,1.333,5.0
125.6,116,1971-07-15,1.333,5.0
125.3,132,1971-07-16,1.667,6.0
121.5,123,1971-07-17,0.333,2.0
121.0,110,1971-07-18,1.333,5.0
126.8,147,1971-07-19,1.667,6.0
118.8,129,1971-07-20,0.667,3.0
113.7,137,1971-07-21,3.667,22.0
115.7,164,1971-07-22,0.667,3.0
121.3,118,1971-07-23,3.333,18.0
123.08917554698156,159,1971-07-24,0.667,3.0
121.3,159,1971-07-25,0.667,3.0
122.2,119,1971-07-26,4.667,39.0
119.0,106,1971-07-27,1.667,6.0
116.7,102,1971-07-28,0.333,2.0
114.3,99,1971-07-29,3.667,22.0
116.3,102,1971-07-30,1.333,5.0
113.2,98,1971-07-31,2.0,7.0
109.7,102,1971-08-01,2.333,9.0
109.2,86,1971-08-02,1.667,6.0
106.4,82,1971-08-03,1.0,4.0
106.4,68,1971-08-04,1.333,5.0
106.9,64,1971-08-05,2.0,7.0
104.9,54,1971-08-06,1.333,5.0
102.6,62,1971-08-07,2.667,12.0
108.6,82,1971-08-08,2.667,12.0
112.0,88,1971-08-09,3.0,15.0
109.7,91,1971-08-10,3.0,15.0
104.7,88,1971-08-11,1.667,6.0
102.1,85,1971-08-12,1.0,4.0
101.9,84,1971-08-13,1.667,6.0
100.7,82,1971-08-14,1.333,5.0
97.2,74,1971-08-15,2.333,9.0
98.8,69,1971-08-16,1.333,5.0
103.6,74,1971-08-17,5.333,56.0
110.5,89,1971-08-18,2.0,7.0
126.2,92,1971-08-19,0.333,2.0
141.1,119,1971-08-20,2.0,7.0
150.3,144,1971-08-21,2.667,12.0
151.2,142,1971-08-22,3.333,18.0
148.7,153,1971-08-23,1.333,5.0
157.6,137,1971-08-24,2.667,12.0
143.4,129,1971-08-25,3.0,15.0
138.8,116,1971-08-26,1.667,6.0
135.2,81,1971-08-27,1.333,5.0
123.7,57,1971-08-28,1.333,5.0
112.0,41,1971-08-29,1.333,5.0
103.4,31,1971-08-30,3.0,15.0
96.3,31,1971-08-31,5.0,48.0
90.3,32,1971-09-01,2.0,7.0
90.1,28,1971-09-02,0.667,3.0
92.6,37,1971-09-03,0.333,2.0
92.6,41,1971-09-04,4.333,32.0
95.2,59,1971-09-05,2.333,9.0
101.8,101,1971-09-06,3.0,15.0
104.32733446602134,105,1971-09-07,4.333,32.0
103.5,84,1971-09-08,1.667,6.0
98.3,67,1971-09-09,2.333,9.0
91.8,32,1971-09-10,1.333,5.0
89.4,24,1971-09-11,1.333,5.0
91.6,39,1971-09-12,2.0,7.0
98.8,64,1971-09-13,1.667,6.0
108.0,85,1971-09-14,3.0,15.0
113.6,102,1971-09-15,1.333,5.0
112.5,91,1971-09-16,4.0,27.0
116.5,113,1971-09-17,5.0,48.0
116.7,120,1971-09-18,2.0,7.0
113.1,103,1971-09-19,2.0,7.0
110.3,85,1971-09-20,2.333,9.0
109.2,88,1971-09-21,1.333,5.0
110.3,98,1971-09-22,1.333,5.0
108.0,86,1971-09-23,0.333,2.0
106.4,51,1971-09-24,3.333,18.0
109.3,43,1971-09-25,2.0,7.0
111.9,37,1971-09-26,6.333,94.0
116.6,57,1971-09-27,2.333,9.0
116.5,79,1971-09-28,1.333,5.0
114.9,88,1971-09-29,2.0,7.0
116.9,99,1971-09-30,4.333,32.0
114.6,89,1971-10-01,3.667,22.0
114.3,82,1971-10-02,4.0,27.0
113.4,68,1971-10-03,2.333,9.0
109.1,52,1971-10-04,3.667,22.0
106.1,74,1971-10-05,3.667,22.0
102.4,59,1971-10-06,2.333,9.0
98.3,61,1971-10-07,5.0,48.0
98.1,62,1971-10-08,2.0,7.0
99.6,57,1971-10-09,3.667,22.0
95.4,52,1971-10-10,1.667,6.0
94.6,37,1971-10-11,2.333,9.0
94.9,50,1971-10-12,3.0,15.0
91.1,47,1971-10-13,2.333,9.0
89.9,43,1971-10-14,3.333,18.0
89.8,31,1971-10-15,2.0,7.0
89.3,35,1971-10-16,0.0,0.0
94.7,40,1971-10-17,1.333,5.0
99.1,55,1971-10-18,0.0,0.0
109.8,59,1971-10-19,1.0,4.0
115.6,93,1971-10-20,1.333,5.0
119.3,103,1971-10-21,2.0,7.0
122.2,105,1971-10-22,1.667,6.0
123.9,110,1971-10-23,2.0,7.0
